# Line name ; Rest frequency ; Rest frame ; Velocity convention ; Velocity ; Minimum range ; Channel separation ; Polarization products ; Additional specifications
NH311; 23.69447GHz; Lsr Kinematic; Radio; 60.0km/s; 200.0km/s; 1.0km/s; DUAL; USE_RECIRCULATION=true
NH322; 23.7226GHz; Lsr Kinematic; Radio; 60.0km/s; 100.0km/s; 1.0km/s; DUAL; USE_RECIRCULATION=false
NH377; 25.715182GHz; Lsr Kinematic; Radio; 60.0km/s; 100.0km/s; 1.0km/s; DUAL; USE_RECIRCULATION=false
NH344; 24.13935GHz; Lsr Kinematic; Radio; 60.0km/s; 95.0km/s; 1.0km/s; DUAL; USE_RECIRCULATION=false
NH355; 24.53292GHz; Lsr Kinematic; Radio; 60.0km/s; 95.0km/s; 1.0km/s; DUAL; USE_RECIRCULATION=false
H2O; 22.23508GHz; Lsr Kinematic; Radio; 60.0km/s; 200.0km/s; 0.1km/s; DUAL; USE_RECIRCULATION=true
NH321; 23.09885GHz; Lsr Kinematic; Radio; 60.0km/s; 100.0km/s; 0.5km/s; DUAL; USE_RECIRCULATION=true
NH332; 22.83422GHz; Lsr Kinematic; Radio; 60.0km/s; 100.0km/s; 0.5km/s; DUAL; USE_RECIRCULATION=true
NH365; 22.73249GHz; Lsr Kinematic; Radio; 60.0km/s; 100.0km/s; 0.5km/s; DUAL; USE_RECIRCULATION=true
NH343; 22.68835GHz; Lsr Kinematic; Radio; 60.0km/s; 100.0km/s; 0.5km/s; DUAL; USE_RECIRCULATION=true
NH353; 21.285275GHz; Lsr Kinematic; Radio; 60.0km/s; 100.0km/s; 1.0km/s; DUAL; USE_RECIRCULATION=true
NH363; 19.757538GHz; Lsr Kinematic; Radio; 60.0km/s; 100.0km/s; 1.0km/s; DUAL; USE_RECIRCULATION=true
NH354; 22.653022GHz; Lsr Kinematic; Radio; 60.0km/s; 100.0km/s; 1.0km/s; DUAL; USE_RECIRCULATION=true
NH374; 19.218465GHz; Lsr Kinematic; Radio; 60.0km/s; 100.0km/s; 1.0km/s; DUAL; USE_RECIRCULATION=true
NH375; 20.80483GHz; Lsr Kinematic; Radio; 60.0km/s; 100.0km/s; 1.0km/s; DUAL; USE_RECIRCULATION=true
